Ticker,Weight
LYB,0.0019760383411086186
PCAR,0.0019696563155753395
ANET,0.001962754556689712
PWR,0.0019572307442328467
PTC,0.001952328973906334
GPC,0.0019390883773775364
CB,0.0019338370799872957
NTAP,0.001917600950518662
V,0.0019150112162850414
GLW,0.0019150019673970554
HIG,0.001913629966772701
ETR,0.0018869690623971225
TYL,0.001886308814802092
NSC,0.001873164562384005
JBHT,0.0018729157857438152
SPGI,0.0018645947496005323
DOV,0.001855553679959521
HD,0.00185356892479368
PAYX,0.0018533182571167696
SYK,0.001850478158176211
DELL,0.0018355245620567655
EXC,0.0018350238415066865
OMC,0.0018281870154478938
CTRA,0.0018205608632726675
WRB,0.0018050236111096895
WAT,0.0017965007618355273
IP,0.00179639571669027
DIS,0.0017963085555469788
SBUX,0.0017955119867135965
